Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5
,,,,,,,69,106.7839928,103.8125834,96.63637933,37.04250886,6.507258127
,,,,,,,70,102.5980056,99.86389065,94.12911224,33.66569672,5.914053485
,,,,,,,71,101.572168,96.49258815,89.12658893,31.34193785,5.505838726
,,,,,,,72,98.20115176,92.97899042,84.72160591,31.67481791,5.564315771
,,,,,,,73,86.15610886,84.20046899,84.02197329,25.52613913,4.484177271
,,,,,,,74,81.39451277,82.810354,78.97741196,25.56454837,4.490924623
,,,,,,,75,79.12342235,82.7173148,80.4577505,25.03642135,4.398148541
,,,,,,,76,76.46194374,82.36157672,82.10323836,25.01081519,4.393650307
,,,,,,,77,74.15095964,83.77358328,81.55674422,25.91343227,4.552213064
,,,,,,,78,70.74289924,89.63231595,85.49930911,27.62264334,4.852470201
,,,,,,,79,79.99253474,98.26854214,88.49601876,29.03738359,5.100997643
,,,,,,,80,88.18498763,107.4630035,89.60101791,29.46308598,5.175780788
,,,,,,,81,95.83602623,109.8272936,92.59472484,29.37666519,5.160599247
,,,,,,,82,95.82462804,112.7607646,96.66340377,29.53670368,5.188713211
,,,,,,,83,96.93595208,113.0234635,93.65768598,28.80052663,5.059388976
,,,,,,,84,94.34286265,110.8479882,93.61865068,28.73651123,5.048143391
,,,,,,,85,93.05486658,107.8543154,93.33939818,27.10091787,4.760818678
,,,,,,,86,92.13446231,105.2054349,91.87107051,26.40955159,4.639366353
,,,,,,,87,93.51079439,104.4474391,92.76888231,26.7904432,4.706277588
,,,,,,,88,92.92663688,106.174137,89.21366766,26.66241241,4.683786416
,,,,,,,89,94.18043836,105.3668852,89.59801519,28.75571585,5.051517067
,,,,,,,90,95.96425593,101.5468054,90.07244417,34.5267038,6.065306611
,,,,,,,91,102.06514,103.8016376,92.7658796,34.66753767,6.0900469
,,,,,,,92,110.8332017,103.4103257,95.84366255,34.07219448,5.985462953
