Date,NR,WR,SR,ER,NER,TOTAL
01-Jan-17,837,965,788,313,36,2939
02-Jan-17,849,992,837,318,37,3033
03-Jan-17,863,1006,858,314,36,3077
04-Jan-17,863,1006,869,319,35,3092
05-Jan-17,881,1017,872,323,37,3129
06-Jan-17,863,1019,872,321,37,3113
07-Jan-17,792,1013,857,319,38,3018
08-Jan-17,822,989,822,313,36,2982
09-Jan-17,844,1002,854,317,36,3053
10-Jan-17,865,989,868,317,39,3078
11-Jan-17,876,999,869,320,38,3102
12-Jan-17,883,1000,876,325,39,3123
13-Jan-17,907,990,863,327,39,3126
14-Jan-17,891,929,789,323,38,2969
15-Jan-17,866,919,740,317,37,2880
16-Jan-17,870,995,802,321,38,3026
17-Jan-17,893,1008,829,322,39,3091
18-Jan-17,898,1006,835,326,39,3104
19-Jan-17,892,1007,840,330,39,3108
20-Jan-17,909,1005,846,330,40,3130
21-Jan-17,916,1013,829,329,40,3128
22-Jan-17,878,1001,787,322,38,3025
23-Jan-17,893,1032,836,327,38,3127
24-Jan-17,901,1049,849,327,39,3164
25-Jan-17,882,1053,865,328,39,3167
26-Jan-17,692,973,812,324,38,2839
27-Jan-17,695,971,831,322,38,2856
28-Jan-17,801,984,831,324,39,2978
29-Jan-17,789,998,796,321,38,2942
30-Jan-17,812,1025,841,328,39,3045
31-Jan-17,828,1039,864,329,39,3099
01-Feb-17,831,1030,876,333,38,3107
02-Feb-17,829,1040,875,328,39,3111
03-Feb-17,835,1038,887,329,39,3128
04-Feb-17,822,1032,870,328,40,3092
05-Feb-17,785,1008,837,320,38,2989
06-Feb-17,821,1026,870,325,39,3082
07-Feb-17,846,1031,895,327,39,3137
08-Feb-17,872,1043,895,330,39,3180
09-Feb-17,860,1047,903,334,40,3184
10-Feb-17,882,1040,904,331,39,3196
11-Feb-17,872,1020,885,330,40,3148
12-Feb-17,858,978,840,325,38,3038
13-Feb-17,874,1018,872,330,39,3133
14-Feb-17,873,1044,900,334,39,3191
15-Feb-17,878,1055,896,332,40,3200
16-Feb-17,891,1061,889,337,40,3217
17-Feb-17,883,1054,890,337,40,3204
18-Feb-17,879,1062,891,332,39,3203
19-Feb-17,863,1048,856,327,38,3131
20-Feb-17,872,1068,903,336,38,3217
21-Feb-17,894,1067,925,341,34,3261
22-Feb-17,908,1076,934,347,33,3298
23-Feb-17,883,1082,942,344,34,3285
24-Feb-17,869,1007,937,346,37,3195
25-Feb-17,878,1065,909,343,38,3233
26-Feb-17,862,1052,878,332,37,3162
27-Feb-17,887,1080,915,339,39,3261
28-Feb-17,907,1089,922,345,39,3302
01-Mar-17,911,1088,923,346,39,3307
02-Mar-17,895,1091,930,348,40,3303
03-Mar-17,921,1085,934,351,37,3328
04-Mar-17,912,1084,925,344,36,3301
05-Mar-17,879,1046,888,340,33,3186
06-Mar-17,895,1071,929,350,36,3281
07-Mar-17,893,1072,934,355,37,3292
08-Mar-17,863,1066,930,346,38,3242
09-Mar-17,824,1070,942,345,37,3218
10-Mar-17,747,1036,925,321,38,3067
11-Mar-17,751,1013,922,311,34,3031
12-Mar-17,773,974,885,308,35,2975
13-Mar-17,701,858,910,302,34,2805
14-Mar-17,751,948,931,315,37,2983
15-Mar-17,795,1009,921,334,38,3097
16-Mar-17,810,1027,914,344,38,3133
17-Mar-17,838,1035,928,353,37,3190
18-Mar-17,835,1040,935,354,31,3194
19-Mar-17,802,1004,895,341,33,3075
20-Mar-17,830,1049,948,343,35,3206
21-Mar-17,851,1070,960,344,38,3263
22-Mar-17,869,1081,962,351,38,3301
23-Mar-17,884,1089,969,378,39,3359
24-Mar-17,924,1098,975,380,39,3416
25-Mar-17,907,1101,974,375,35,3392
26-Mar-17,877,1084,928,370,36,3294
27-Mar-17,887,1123,957,385,37,3388
28-Mar-17,933,1129,990,392,38,3482
29-Mar-17,947,1140,967,398,37,3488
30-Mar-17,945,1151,981,380,36,3494
31-Mar-17,960,1138,994,395,35,3523
01-Apr-17,932,1119,972,393,33,3449
02-Apr-17,881,1088,925,380,30,3304
03-Apr-17,925,1132,965,374,26,3421
04-Apr-17,898,1129,977,384,31,3419
05-Apr-17,817,1138,987,386,35,3362
06-Apr-17,834,1144,965,398,35,3375
07-Apr-17,925,1156,968,396,38,3483
08-Apr-17,862,1111,971,388,37,3369
09-Apr-17,820,1086,924,391,35,3256
10-Apr-17,802,1119,963,400,37,3320
11-Apr-17,966,1140,965,398,38,3507
12-Apr-17,899,1145,968,402,41,3456
13-Apr-17,925,1156,971,417,41,3510
14-Apr-17,942,1164,935,408,41,3490
15-Apr-17,942,1165,946,390,36,3479
16-Apr-17,922,1124,906,380,32,3364
17-Apr-17,986,1157,933,393,36,3505
18-Apr-17,1007,1162,961,403,40,3574
19-Apr-17,1026,1155,972,388,38,3579
20-Apr-17,1041,1150,957,376,36,3560
21-Apr-17,1042,1156,936,398,37,3569
22-Apr-17,982,1146,929,375,37,3469
23-Apr-17,941,1111,895,358,36,3342
24-Apr-17,921,1143,945,365,36,3410
25-Apr-17,968,1180,944,390,35,3517
26-Apr-17,971,1136,935,403,34,3479
27-Apr-17,980,1127,933,412,37,3488
28-Apr-17,1000,1125,942,412,33,3512
29-Apr-17,996,1105,915,414,32,3462
30-Apr-17,947,1059,860,382,35,3284
01-May-17,977,1067,819,330,33,3226
02-May-17,1032,1114,878,366,38,3428
03-May-17,1001,1122,915,388,37,3463
04-May-17,1018,1118,926,398,39,3500
05-May-17,1075,1133,944,392,37,3581
06-May-17,1078,1122,916,385,35,3536
07-May-17,1080,1058,821,371,34,3364
08-May-17,1112,1085,854,402,40,3492
09-May-17,1068,1106,878,356,36,3443
10-May-17,1081,1111,839,375,38,3444
11-May-17,1103,1122,870,386,40,3521
12-May-17,1138,1123,892,379,41,3572
13-May-17,1161,1105,889,380,42,3577
14-May-17,1111,1083,841,370,38,3443
15-May-17,1170,1114,857,395,40,3576
16-May-17,1140,1126,906,367,36,3575
17-May-17,1081,1126,899,377,42,3525
18-May-17,1097,1124,888,374,43,3526
19-May-17,1105,1124,881,392,42,3543
20-May-17,1079,1113,871,402,41,3506
21-May-17,1011,1079,830,380,39,3339
22-May-17,986,1097,867,397,40,3388
23-May-17,1053,1119,865,393,43,3472
24-May-17,1098,1136,875,405,42,3557
25-May-17,1128,1130,890,411,41,3601
26-May-17,1154,1131,874,387,42,3588
27-May-17,1095,1104,817,370,45,3431
28-May-17,1055,1038,792,374,44,3303
29-May-17,963,1062,829,378,45,3277
30-May-17,1045,1063,852,382,35,3378
31-May-17,1000,1082,881,383,35,3381
01-Jun-17,1024,1073,892,388,38,3415
02-Jun-17,1079,1067,896,396,40,3478
03-Jun-17,1114,1063,883,408,37,3505
04-Jun-17,1119,1004,824,401,38,3385
05-Jun-17,1168,1055,862,400,42,3528
06-Jun-17,1177,1042,843,383,44,3490
07-Jun-17,1024,1024,790,387,46,3271
08-Jun-17,1058,1008,779,392,47,3284
09-Jun-17,1056,999,797,388,45,3285
10-Jun-17,1068,937,787,393,47,3231
11-Jun-17,988,928,760,386,43,3106
12-Jun-17,1097,965,797,382,40,3282
13-Jun-17,1143,969,824,387,37,3361
14-Jun-17,1152,1009,839,395,41,3436
15-Jun-17,1158,1007,833,379,45,3423
16-Jun-17,1137,995,816,377,44,3369
17-Jun-17,1155,1008,805,395,40,3404
18-Jun-17,1162,996,783,400,40,3381
19-Jun-17,1138,1032,810,387,40,3407
20-Jun-17,1061,1036,809,345,45,3296
21-Jun-17,1044,1023,822,363,45,3296
22-Jun-17,1080,1007,840,378,46,3351
23-Jun-17,1141,1000,828,386,47,3401
24-Jun-17,1194,978,795,381,45,3393
25-Jun-17,1207,913,747,375,46,3287
26-Jun-17,1234,916,761,385,47,3343
27-Jun-17,1229,911,780,392,46,3358
28-Jun-17,1087,896,794,395,48,3220
29-Jun-17,927,893,824,400,46,3089
30-Jun-17,967,874,847,392,46,3125
01-Jul-17,1008,850,825,390,45,3117
02-Jul-17,983,822,792,362,42,3000
03-Jul-17,1061,859,840,379,41,3179
04-Jul-17,1099,881,858,368,43,3248
05-Jul-17,1099,898,866,379,45,3288
06-Jul-17,1099,932,866,381,46,3324
07-Jul-17,1122,955,859,384,48,3368
08-Jul-17,1183,979,846,390,45,3443
09-Jul-17,1211,955,810,375,43,3394
10-Jul-17,1212,980,851,376,38,3457
11-Jul-17,1185,972,856,368,40,3421
12-Jul-17,1112,955,844,372,44,3327
13-Jul-17,1144,932,833,377,45,3331
14-Jul-17,1194,896,825,393,45,3354
15-Jul-17,1212,878,818,397,48,3354
16-Jul-17,1186,848,770,394,44,3242
17-Jul-17,1208,875,808,408,43,3343
18-Jul-17,1175,879,806,412,47,3319
19-Jul-17,1209,882,799,401,42,3333
20-Jul-17,1193,876,810,385,43,3307
21-Jul-17,1204,869,867,387,45,3373
22-Jul-17,1171,851,881,380,47,3329
23-Jul-17,1123,822,868,362,41,3216
24-Jul-17,1112,843,912,345,41,3253
25-Jul-17,1152,864,934,332,46,3328
26-Jul-17,1167,878,947,339,46,3378
27-Jul-17,1174,871,951,370,46,3412
28-Jul-17,1207,867,940,394,48,3457
29-Jul-17,1191,895,928,402,47,3464
30-Jul-17,1135,892,888,380,47,3342
31-Jul-17,1121,937,928,393,48,3428
01-Aug-17,1051,947,922,397,49,3366
02-Aug-17,1057,956,916,405,48,3382
03-Aug-17,1081,959,929,392,49,3409
04-Aug-17,1133,969,924,382,49,3457
05-Aug-17,1165,992,902,387,50,3496
06-Aug-17,1159,966,882,386,46,3439
07-Aug-17,1127,923,911,399,46,3407
08-Aug-17,1145,970,910,401,48,3474
09-Aug-17,1163,992,878,404,46,3482
10-Aug-17,1164,1002,862,389,44,3461
11-Aug-17,1185,1006,885,394,41,3511
12-Aug-17,1187,989,853,375,42,3446
13-Aug-17,1175,977,792,360,42,3346
14-Aug-17,1187,983,835,368,43,3416
15-Aug-17,1188,900,797,369,43,3297
16-Aug-17,1247,917,838,383,45,3430
17-Aug-17,1288,1047,852,384,48,3618
18-Aug-17,1315,1069,834,379,46,3643
19-Aug-17,1245,1024,791,388,47,3495
20-Aug-17,1186,922,729,391,45,3272
21-Aug-17,1211,912,794,406,46,3369
22-Aug-17,1231,925,835,409,46,3445
23-Aug-17,1201,947,849,399,48,3443
24-Aug-17,1197,964,865,394,47,3467
25-Aug-17,1139,927,784,409,49,3306
26-Aug-17,1116,938,781,408,47,3290
27-Aug-17,1117,923,753,389,47,3229
28-Aug-17,1139,928,784,385,45,3281
29-Aug-17,1128,879,786,394,48,3235
30-Aug-17,1118,870,825,405,49,3266
31-Aug-17,1084,899,852,405,48,3288
01-Sep-17,978,912,868,381,47,3187
02-Sep-17,964,924,856,370,47,3160
03-Sep-17,972,919,804,373,44,3112
04-Sep-17,1046,971,845,402,45,3309
05-Sep-17,1089,960,849,414,48,3361
06-Sep-17,1124,998,820,417,48,3407
07-Sep-17,1119,1026,823,422,45,3436
08-Sep-17,1145,1011,817,425,47,3445
09-Sep-17,1179,1027,817,420,45,3488
10-Sep-17,1192,1012,795,411,41,3451
11-Sep-17,1205,1032,842,421,44,3544
12-Sep-17,1194,1030,870,414,45,3554
13-Sep-17,1210,1013,879,416,46,3564
14-Sep-17,1199,1010,857,424,47,3536
15-Sep-17,1212,1007,838,425,45,3527
16-Sep-17,1213,991,817,435,48,3504
17-Sep-17,1166,942,727,410,43,3289
18-Sep-17,1193,956,765,393,42,3349
