State,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
Punjab,37327920000.0,41682760000.0,46500580000.0,49714280000.0,54612180000.0,59778320000.0,67079740000.0,73060540000.0,80896060000.0,82371405900.0,106119335166.66542,128208137933.33273,146967726400.0,159621928433.33224,166734747499.9995,174975573500.0
Rajasthan,60877180000.0,69097140000.0,78544340000.0,86189880000.0,95407900000.00002,106233260000.00002,116978120000.0,130077360000.00002,137482800000.0,144527950000.0,187578450000.0,227630540000.0,261710240000.0,284844630000.0,298008750000.0,313122950000.0
Sikkim,1563100000.0,1727320000.0,1940680000.0000002,2156980000.0,2524760000.0,2896180000.0,3289300000.0,3750040000.0,3969980000.0,4223241400.0,5706346000.0,7087615600.0,8273038400.0,9100712600.0,9596760000.0,10145051000.0
Tamil Nadu,105208040000.0,119675500000.00002,135594200000.0,150174920000.0,164710000000.0,182369460000.0,204657740000.0,232982260000.0,241589460000.0,255265720500.0,333485609166.6617,406271762333.33093,468302560000.0,510633891833.32904,534964887499.99805,562694142500.0
Telangana,50320760000.0,56223160000.0,63221200000.0,70818860000.0,80906280000.0,92264620000.0,105533540000.0,121196320000.0,133343700000.00002,138253833200.0,187471613000.0,233313600800.0,272681147200.0,300225074800.0,316793505000.0,335058178000.0
Tripura,2689120000.0,3032820000.0,3583020000.0,4134620000.0,5031320000.0,5545680000.0,6458620000.0,7022381333.333252,7705629333.333252,8221099786.666587,11214861466.66659,14003648746.666592,16401085653.333261,18084146613.333267,19102557999.99994,20220422133.333275
Uttar Pradesh,101367000000.0,115135020000.0,131649840000.0,141650600000.0,159209400000.0,174772360000.0,192685360000.0,215940480000.0,221172980000.0,235596738300.0,303727858250.0,367100456200.0,420931222800.0,457264500700.0,477711251250.0,501379924499.99994
Uttarakhand,16145920000.000002,18425820000.0,20870360000.0,22601460000.0,24802820000.0,27317500000.0,31197040000.0,34425300000.0,36852620000.0,38336228000.0,49889487500.0,60638948000.0,69791524000.0,76018264000.0,79576387500.0,83648950000.0
West Bengal,72867900000.0,82804960000.00002,94758720000.0,100531480000.00002,111622000000.0,122153780000.0,139941900000.0,164862040000.00003,184034060000.0,184950720500.0,246460938333.33084,303728715666.66547,352745580000.0,386674765166.6645,406696449999.999,429078492500.0
Delhi,48131720000.00001,54794320000.0,62154400000.00001,69272420000.0,77112560000.0,86184700000.0,96613720000.0,109151280000.0,114883600000.0,121297491000.0,159808715000.0,195653134000.0,226259616000.0,247279159000.0,259505025000.0,273317414999.99997
