juris,year,ev_stock,ev_stock_2,ev_flow,ev_flow_2,ev_stock_src,ev_stock_2_src,ev_flow_src,ev_flow_2_src,out_stock,fast_stock,out_flow,fast_flow,out_stock_src,fast_stock_src,out_flow_src,fast_flow_src
USA,2015,404000,310000,100000,,IEA 2019,https://www.eei.org/issuesandpolicy/electrictransportation/Documents/EV_%20Sales%20Facts%20and%20Figures.pdf,Li 2019,,32000,1700,,,IEA 2019,IEA 2019,,
USA,2016,564000,425000,150000,145570,IEA 2019,https://www.eei.org/issuesandpolicy/electrictransportation/Documents/EV_%20Sales%20Facts%20and%20Figures.pdf,Li 2019,https://evadoption.com/ev-market-share/ev-market-share-state/,38000,2200,,,IEA 2019,IEA 2019,,
USA,2017,762000,605000,200000,187985,IEA 2019,https://www.eei.org/issuesandpolicy/electrictransportation/Documents/EV_%20Sales%20Facts%20and%20Figures.pdf,Li 2019,https://evadoption.com/ev-market-share/ev-market-share-state/,43000,2900,,,IEA 2019,IEA 2019,,
USA,2018,1123000,810000,350000,328118,IEA 2019,https://www.eei.org/issuesandpolicy/electrictransportation/Documents/EV_%20Sales%20Facts%20and%20Figures.pdf,Li 2019,https://evadoption.com/ev-market-share/ev-market-share-state/,55000,5000,,,IEA 2019,IEA 2019,,
USA,2019,,890000,,,,https://www.eei.org/issuesandpolicy/electrictransportation/Documents/EV_%20Sales%20Facts%20and%20Figures.pdf,,,86070,,,,https://afdc.energy.gov/stations/states,,,
Utah,2016,,,,1135,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,964,,,,https://afdc.energy.gov/stations/states,,,
Utah,2017,,,,1163,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,964,,,,https://afdc.energy.gov/stations/states,,,
Utah,2018,,,,2295,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,964,,,,https://afdc.energy.gov/stations/states,,,
Utah,2019,,,,,,,,,964,,,,https://afdc.energy.gov/stations/states,,,
Vermont,2016,,,,514,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,661,,,,https://afdc.energy.gov/stations/states,,,
Vermont,2017,,,,871,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,661,,,,https://afdc.energy.gov/stations/states,,,
Vermont,2018,,,,824,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,661,,,,https://afdc.energy.gov/stations/states,,,
Vermont,2019,,,,,,,,,661,,,,https://afdc.energy.gov/stations/states,,,
Virginia,2016,,,,2155,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2056,,,,https://afdc.energy.gov/stations/states,,,
Virginia,2017,,,,2932,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2056,,,,https://afdc.energy.gov/stations/states,,,
Virginia,2018,,,,6375,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2056,,,,https://afdc.energy.gov/stations/states,,,
Virginia,2019,,,,,,,,,2056,,,,https://afdc.energy.gov/stations/states,,,
Washington,2016,,,,5363,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,3223,,,,https://afdc.energy.gov/stations/states,,,
Washington,2017,,,,7068,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,3223,,,,https://afdc.energy.gov/stations/states,,,
Washington,2018,,,,12650,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,3223,,,,https://afdc.energy.gov/stations/states,,,
Washington,2019,,,,,,,,,3223,,,,https://afdc.energy.gov/stations/states,,,
West Virginia,2016,,,,71,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,244,,,,https://afdc.energy.gov/stations/states,,,
West Virginia,2017,,,,113,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,244,,,,https://afdc.energy.gov/stations/states,,,
West Virginia,2018,,,,218,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,244,,,,https://afdc.energy.gov/stations/states,,,
West Virginia,2019,,,,,,,,,244,,,,https://afdc.energy.gov/stations/states,,,
Wisconsin,2016,,,,1778,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,711,,,,https://afdc.energy.gov/stations/states,,,
Wisconsin,2017,,,,1576,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,711,,,,https://afdc.energy.gov/stations/states,,,
Wisconsin,2018,,,,1956,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,711,,,,https://afdc.energy.gov/stations/states,,,
Wisconsin,2019,,,,,,,,,711,,,,https://afdc.energy.gov/stations/states,,,
Wyoming,2016,,,,41,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,159,,,,https://afdc.energy.gov/stations/states,,,
Wyoming,2017,,,,51,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,159,,,,https://afdc.energy.gov/stations/states,,,
Wyoming,2018,,,,92,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,159,,,,https://afdc.energy.gov/stations/states,,,
Wyoming,2019,,,,,,,,,159,,,,https://afdc.energy.gov/stations/states,,,
