juris,year,ev_stock,ev_stock_2,ev_flow,ev_flow_2,ev_stock_src,ev_stock_2_src,ev_flow_src,ev_flow_2_src,out_stock,fast_stock,out_flow,fast_flow,out_stock_src,fast_stock_src,out_flow_src,fast_flow_src
France,2014,32000,,,,IES 2019,,,,2000,100,,,IEA 2019,IEA 2019,,
France,2015,54000,,,,IES 2019,,,,10000,600,,,IEA 2019,IEA 2019,,
France,2016,84000,,,,IES 2019,,,,20000,1000,,,IEA 2019,IEA 2019,,
France,2017,118000,,,,IES 2019,,,,22000,1000,,,IEA 2019,IEA 2019,,
France,2018,165000,,,,IES 2019,,,,24000,1400,,,IEA 2019,IEA 2019,,
Germany,2014,25000,,,,IES 2019,,,,3000,200,,,IEA 2019,IEA 2019,,
Germany,2015,48000,,,,IES 2019,,,,5000,500,,,IEA 2019,IEA 2019,,
Germany,2016,73000,,,,IES 2019,,,,24000,1700,,,IEA 2019,IEA 2019,,
Germany,2017,110000,,,,IES 2019,,,,24000,1800,,,IEA 2019,IEA 2019,,
Germany,2018,177000,,,,IES 2019,,,,26000,2600,,,IEA 2019,IEA 2019,,
Georgia,2016,,,,2435,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2934,,,,https://afdc.energy.gov/stations/states,,,
Georgia,2017,,,,2427,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2934,,,,https://afdc.energy.gov/stations/states,,,
Georgia,2018,,,,6004,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2934,,,,https://afdc.energy.gov/stations/states,,,
Georgia,2019,,,,,,,,,2934,,,,https://afdc.energy.gov/stations/states,,,
Hawaii,2016,,,,1224,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,668,,,,https://afdc.energy.gov/stations/states,,,
Hawaii,2017,,,,1934,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,668,,,,https://afdc.energy.gov/stations/states,,,
Hawaii,2018,,,,2296,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,668,,,,https://afdc.energy.gov/stations/states,,,
Hawaii,2019,,,,,,,,,668,,,,https://afdc.energy.gov/stations/states,,,
Idaho,2016,,,,214,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,216,,,,https://afdc.energy.gov/stations/states,,,
Idaho,2017,,,,241,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,216,,,,https://afdc.energy.gov/stations/states,,,
Idaho,2018,,,,497,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,216,,,,https://afdc.energy.gov/stations/states,,,
Idaho,2019,,,,,,,,,216,,,,https://afdc.energy.gov/stations/states,,,
