State,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
India,1223045460000.0,1392529040000.0,1573128900000.0002,1740724860000.0,1914546340000.0,2135143920000.0,2393300700000.0,2661422960000.0005,2935570000000.0,3141742315500.0,4385464133750.044,5694975531000.022,7133972692000.001,8810011520833.383,10703255552083.36,12556826652500.0
Andhra Pradesh,53116280000.0,57596560000.0,64998080000.0,73496640000.0,84592060000.0,97651120000.00002,113336580000.0,130676280000.0,151291980000.0,159666220200.0,234164649249.99728,312651784799.9986,398687335200.00006,498490146466.6636,611159647916.665,722028008000.0
Arunachal Pradesh,1548820000.0,1756580000.0000002,2041340000.0000002,2514260000.0,2591260000.0000005,2747780000.0,3086300000.0,3340745333.333313,3593457333.333313,3923092719.9999795,5365215799.999979,6883152479.999978,8553271253.333311,10502483013.33331,12704961666.666641,14855788133.333307
Assam,20044500000.0,21960960000.0,24884300000.0,27401220000.0,31914260000.0,35626920000.0,40389160000.0,47486415000.0,52373440000.0,57942023100.0,84109861500.0,111675623400.0,141906329600.0,177000949900.0,216624412500.0,255577731500.0
Bihar,34600160000.0,39531520000.0,44394140000.0,48013140000.0,52024280000.0,59124240000.0,67863600000.00001,78048600000.0,80195780000.0,88213379100.0,123281231500.00137,160204703400.0007,200776441600.00003,248026172566.66818,301398329166.6675,353659351500.0
Chhattisgarh,22130360000.0,24851540000.0,28956620000.000004,30956520000.0,31833620000.0,35661080000.0,39787160000.0,43632400000.0,50946000000.0,52192181100.0,71624714000.00069,92079959400.00035,114580961600.00002,140832573233.3341,170493558333.33374,199472071500.0
Goa,5931380000.0,5336800000.000001,5028940000.0,6693960000.0,7707560000.0,8884400000.0,9869020000.0,10804080000.000002,11799600000.0,13065516600.0,18750879000.0,24739160400.0,31309913600.000004,38944637400.0,47565725000.0,56031599000.0
Gujarat,86184840000.0,101429300000.0,113067220000.0,129048220000.0,144061400000.0,161465780000.0,184055200000.0,209861820000.0,238209300000.0,252085033800.0,360990444499.99457,475695349199.9972,601570916800.0,747854645533.3271,913041695833.3301,1075219067000.0
Haryana,41655460000.0,48584480000.0,55897520000.00001,61200300000.0,69334860000.0,77885500000.0,87647560000.0,98997640000.00002,109887400000.0,117729624000.002,166974351249.99933,218835198000.00073,275774436000.0022,341998416666.6659,416788947916.6675,490143095000.00256
Himachal Pradesh,10180800000.0,11594800000.0,13266960000.000002,14528080000.0,15993460000.0,17588760000.0,19685820000.0,21445340000.0,23656080000.0,25344873300.0,34989646999.99966,45142954199.999825,56307540800.00001,69325175033.33295,84032133333.33313,98411644500.0
Jammu & Kashmir,10955840000.0,12199320000.0,13386660000.0,13771800000.0,16403520000.0,17553060000.0,19388320000.0,20558038666.666504,22017350666.666504,23946195919.999836,32311883799.999832,41115365279.999825,50810303786.66649,62142225146.66647,74949328333.33313,87432829466.66646
Jharkhand,21128520000.0,24461360000.0,26399380000.0,30593500000.0,28925820000.0,33075000000.0,38674020000.0,43061340000.0,44003020000.0,47900485200.0,64840083000.0,82667152800.0,102295043200.00002,125228750800.0,151146575000.0,176420998000.0
