,NR,WR,SR,ER,NER,TOTAL
2019-03-29,975,1204,1129,439,44,3792
2019-03-30,979,1212,1127,434,44,3795
2019-03-31,916,1161,1063,420,31,3591
2019-04-01,946,1188,1093,392,33,3652
2019-04-02,969,1206,1113,437,35,3761
2019-04-03,988,1223,1125,455,36,3827
2019-04-04,1000,1232,1114,465,40,3851
2019-04-05,1003,1213,1100,461,39,3816
2019-04-06,998,1209,1067,412,41,3728
2019-04-07,909,1180,1008,349,37,3483
2019-04-08,940,1219,1074,388,39,3660
2019-04-09,994,1236,1083,379,39,3731
2019-04-10,1010,1239,1091,393,41,3773
2019-04-11,1020,1246,1060,431,44,3800
2019-04-12,1017,1246,1083,446,46,3837
2019-04-13,1015,1231,1075,440,47,3809
2019-04-14,978,1193,1038,438,41,3688
2019-04-15,1007,1210,1076,455,39,3787
2019-04-16,830,1159,1095,458,38,3581
2019-04-17,774,1103,1076,413,31,3397
2019-04-18,827,1164,989,433,41,3455
2019-04-19,885,1167,994,421,44,3511
2019-04-20,923,1197,999,427,40,3586
2019-04-21,913,1171,941,418,41,3484
2019-04-22,1002,1228,987,416,41,3675
2019-04-23,1059,1207,974,432,45,3717
2019-04-24,1063,1243,1014,454,47,3821
2019-04-25,1108,1269,1037,473,48,3936
2019-04-26,1119,1276,1052,474,46,3967
2019-04-27,1092,1272,1052,474,46,3937
2019-04-28,1054,1247,992,471,40,3804
2019-04-29,1137,1262,1032,482,42,3954
2019-04-30,1160,1267,1007,475,40,3948
2019-05-01,1160,1201,898,447,37,3742
2019-05-02,1104,1235,965,448,42,3794
2019-05-03,1068,1220,1010,353,42,3694
2019-05-04,1129,1211,1019,319,34,3711
2019-05-05,1077,1184,982,372,34,3648
2019-05-06,1144,1217,1045,410,41,3857
2019-05-07,1179,1230,1037,444,42,3932
2019-05-08,1224,1221,1014,468,43,3971
2019-05-09,1243,1224,1027,474,42,4009
2019-05-10,1228,1220,1051,483,43,4024
2019-05-11,1196,1212,1045,482,43,3977
2019-05-12,1158,1185,978,463,41,3825
2019-05-13,1157,1212,1016,464,36,3884
2019-05-14,1150,1220,1029,430,39,3867
2019-05-15,1152,1217,1026,441,42,3877
2019-05-16,1140,1220,1029,460,43,3892
2019-05-17,1089,1223,1037,484,43,3874
2019-05-18,1041,1216,1018,489,42,3808
2019-05-19,1093,1189,982,467,42,3772
2019-05-20,1165,1244,1034,484,44,3971
2019-05-21,1209,1260,1052,486,47,4053
2019-05-22,1219,1254,1054,478,47,4051
2019-05-23,1253,1276,1060,458,44,4091
2019-05-24,1147,1254,1025,476,42,3944
2019-05-25,1175,1248,1009,443,42,3918
2019-05-26,1175,1216,961,440,45,3836
2019-05-27,1235,1254,1008,485,43,4025
2019-05-28,1277,1266,1051,483,47,4124
2019-05-29,1306,1260,1024,490,48,4129
2019-05-30,1347,1263,1018,472,46,4145
2019-05-31,1342,1253,1027,445,45,4112
2019-06-01,1333,1164,994,465,46,4002
2019-06-02,1324,1211,946,420,48,3949
2019-06-03,1306,1236,921,412,47,3922
2019-06-04,1313,1247,971,452,46,4028
2019-06-05,1382,1243,970,449,50,4093
2019-06-06,1344,1249,939,437,51,4020
2019-06-07,1282,1238,955,446,49,3970
2019-06-08,1341,1218,937,454,50,4000
2019-06-09,1322,1200,905,467,48,3943
2019-06-10,1384,1213,935,472,50,4054
2019-06-11,1415,1225,954,478,52,4124
2019-06-12,1280,1186,957,465,56,3944
2019-06-13,1355,1102,958,428,54,3897
2019-06-14,1445,1135,976,487,51,4093
2019-06-15,1412,1143,982,468,51,4056
2019-06-16,1281,1101,965,458,50,3855
2019-06-17,1282,1125,1009,478,49,3944
2019-06-18,1176,1126,1025,462,53,3842
2019-06-19,1253,1114,1033,486,54,3940
2019-06-20,1258,1147,1014,486,55,3960
2019-06-21,1334,1160,949,454,53,3950
2019-06-22,1347,1136,949,414,51,3897
2019-06-23,1314,1076,879,434,53,3755
2019-06-24,1318,1096,929,477,54,3874
2019-06-25,1362,1117,963,496,53,3991
2019-06-26,1423,1118,952,470,47,4011
2019-06-27,1439,1115,960,463,50,4027
2019-06-28,1472,1060,966,462,49,4008
2019-06-29,1482,1034,949,457,51,3974
2019-06-30,1447,988,879,444,53,3812
2019-07-01,1493,1000,919,438,53,3902
2019-07-02,1461,1000,936,416,52,3864
2019-07-03,1491,989,940,433,51,3905
2019-07-04,1439,994,957,454,55,3898
2019-07-05,1364,989,943,457,54,3807
2019-07-06,1308,979,932,431,50,3700
2019-07-07,1284,949,887,397,45,3562
2019-07-08,1346,1010,942,417,46,3761
2019-07-09,1258,1035,963,416,48,3721
2019-07-10,1280,1057,944,424,47,3750
2019-07-11,1268,1076,943,401,46,3734
2019-07-12,1294,1099,968,404,45,3810
2019-07-13,1280,1116,950,423,46,3816
2019-07-14,1214,1091,891,425,43,3666
2019-07-15,1180,1144,923,473,42,3763
2019-07-16,1106,1173,952,473,46,3749
2019-07-17,1128,1196,972,466,48,3810
2019-07-18,1180,1203,955,495,51,3884
2019-07-19,1239,1201,924,486,53,3903
2019-07-20,1277,1177,878,487,52,3871
2019-07-21,1262,1107,848,481,51,3749
2019-07-22,1343,1156,887,492,50,3928
2019-07-23,1397,1190,891,482,47,4008
2019-07-24,1394,1170,930,451,49,3993
2019-07-25,1233,1111,923,439,51,3758
2019-07-26,1200,1065,882,443,51,3641
2019-07-27,1135,1027,868,432,49,3511
2019-07-28,1093,993,827,415,50,3378
2019-07-29,1217,994,869,412,51,3544
2019-07-30,1295,961,877,439,51,3623
2019-07-31,1304,945,929,472,51,3701
2019-08-01,1304,945,929,472,51,3701
2019-08-02,1251,958,897,471,53,3629
2019-08-03,1215,951,869,474,54,3564
2019-08-04,1227,910,829,468,53,3486
2019-08-05,1318,968,881,483,55,3705
2019-08-06,1246,990,851,467,56,3609
2019-08-07,1219,988,826,410,52,3495
2019-08-08,1279,965,813,384,55,3495
2019-08-09,1234,934,832,444,55,3499
2019-08-10,1272,916,852,479,55,3574
2019-08-11,1289,925,846,468,57,3585
2019-08-12,1358,978,907,455,53,3751
2019-08-13,1303,1004,915,420,51,3693
2019-08-14,1254,982,920,431,53,3639
2019-08-15,1142,830,876,425,49,3323
2019-08-16,1152,911,932,457,51,3502
2019-08-17,1049,984,894,451,53,3432
2019-08-18,961,989,851,423,52,3275
2019-08-19,1083,1032,896,430,53,3494
2019-08-20,1177,1052,896,462,56,3643
2019-08-21,1225,1059,905,490,58,3736
2019-08-22,1238,1056,886,489,58,3726
2019-08-23,1308,1063,882,463,53,3769
2019-08-24,1275,1024,893,445,54,3690
2019-08-25,1194,1001,862,426,54,3537
2019-08-26,1245,1041,922,444,56,3708
2019-08-27,1340,1040,966,456,57,3859
2019-08-28,1384,1053,991,461,53,3942
2019-08-29,1385,1077,1013,471,57,4004
2019-08-30,1369,1073,1004,484,57,3986
2019-08-31,1385,1053,951,482,54,3925
2019-09-01,1261,996,857,470,53,3637
2019-09-02,1308,973,840,475,54,3650
2019-09-03,1357,1008,856,476,55,3751
2019-09-04,1352,1003,871,466,53,3745
2019-09-05,1333,1006,894,467,53,3754
2019-09-06,1340,1015,918,466,55,3793
2019-09-07,1331,1005,918,461,55,3770
2019-09-08,1293,954,886,444,52,3629
2019-09-09,1352,976,963,463,53,3807
2019-09-10,1407,982,988,463,54,3893
2019-09-11,1416,986,963,473,54,3892
2019-09-12,1429,941,935,452,53,3810
2019-09-13,1378,957,941,450,51,3777
2019-09-14,1357,974,935,461,51,3778
2019-09-15,1308,965,882,466,50,3672
2019-09-16,1341,1022,913,479,51,3806
2019-09-17,1328,1024,888,459,50,3749
2019-09-18,1287,1019,856,437,52,3651
2019-09-19,1245,1017,846,469,56,3633
2019-09-20,1276,1020,860,485,55,3695
2019-09-21,1269,1022,867,460,55,3674
2019-09-22,1125,989,834,434,50,3432
2019-09-23,1158,1036,874,445,46,3559
2019-09-24,1177,1029,841,432,42,3521
2019-09-25,1187,1000,825,401,44,3457
2019-09-26,1150,984,813,382,47,3377
2019-09-27,1088,958,834,378,48,3306
2019-09-28,999,943,848,349,49,3187
2019-09-29,888,911,829,323,45,2996
2019-09-30,929,944,860,354,44,3131
2019-10-01,963,960,886,370,45,3223
2019-10-02,919,956,836,389,47,3147
2019-10-03,971,1004,881,405,49,3310
2019-10-04,963,1009,899,417,49,3337
2019-10-05,984,1017,881,406,51,3337
2019-10-06,976,984,834,404,48,3247
2019-10-07,989,1005,813,382,43,3231
2019-10-08,931,937,821,356,40,3085
2019-10-09,1005,1006,864,351,41,3266
2019-10-10,1030,1055,880,381,44,3391
2019-10-11,1037,1058,884,410,48,3436
2019-10-12,1026,1063,874,406,46,3415
2019-10-13,986,1045,829,403,47,3309
2019-10-14,1026,1094,879,411,48,3458
2019-10-15,1040,1111,874,413,48,3486
2019-10-16,1037,1127,853,405,48,3470
2019-10-17,1034,1140,828,420,50,3473
2019-10-18,986,1121,833,430,49,3419
2019-10-19,974,1065,796,429,48,3312
2019-10-20,924,997,749,415,48,3134
2019-10-21,924,996,766,412,45,3143
2019-10-22,929,1020,770,416,46,3180
2019-10-23,932,1009,773,396,45,3155
2019-10-24,939,991,771,349,43,3093
2019-10-25,950,963,781,330,40,3064
2019-10-26,900,911,750,345,38,2944
2019-10-27,820,810,679,352,41,2702
2019-10-28,770,773,697,356,40,2635
2019-10-29,821,811,725,357,42,2757
2019-10-30,867,862,724,362,43,2858
2019-10-31,887,914,741,371,44,2957
2019-11-01,899,942,740,378,44,3003
2019-11-02,884,940,774,373,44,3014
2019-11-03,836,917,756,364,43,2916
2019-11-04,882,981,819,369,43,3093
2019-11-05,886,1001,852,365,44,3147
2019-11-06,891,1018,881,360,43,3193
2019-11-07,829,1002,877,350,43,3101
2019-11-08,838,988,870,345,43,3085
2019-11-09,853,998,848,323,43,3064
2019-11-10,820,985,808,326,39,2978
2019-11-11,851,1035,863,345,42,3135
2019-11-12,855,1052,895,353,42,3196
2019-11-13,866,1062,901,343,42,3213
2019-11-14,859,1056,907,334,42,3198
2019-11-15,853,1054,900,343,43,3193
2019-11-16,851,1069,886,338,42,3187
2019-11-17,815,1047,854,326,40,3082
2019-11-18,853,1084,909,333,40,3220
2019-11-19,866,1097,919,341,42,3264
2019-11-20,874,1104,918,345,41,3282
2019-11-21,877,1116,910,345,42,3290
2019-11-22,881,1125,899,346,42,3292
2019-11-23,867,1123,881,343,41,3255
2019-11-24,837,1098,834,329,40,3138
2019-11-25,865,1137,892,333,40,3268
2019-11-26,861,1150,893,340,40,3284
2019-11-27,853,1146,888,343,41,3270
2019-11-28,813,1146,875,344,41,3219
2019-11-29,836,1147,878,344,41,3246
2019-11-30,835,1145,857,349,41,3227
2019-12-01,794,1102,755,336,38,3025
2019-12-02,830,1131,783,342,40,3127
2019-12-03,849,1137,792,348,40,3167
2019-12-04,868,1145,820,339,40,3212
2019-12-05,883,1157,834,339,39,3252
2019-12-06,891,1145,850,341,41,3269
2019-12-07,883,1132,841,340,40,3235
2019-12-08,846,1102,795,335,39,3118
2019-12-09,873,1143,858,340,39,3253
2019-12-10,894,1165,888,350,38,3335
2019-12-11,898,1166,910,347,40,3360
2019-12-12,843,1142,921,348,37,3291
2019-12-13,748,1090,926,332,37,3132
2019-12-14,830,1100,888,333,38,3189
2019-12-15,819,1060,826,333,37,3075
2019-12-16,866,1080,887,329,39,3200
2019-12-17,892,1099,906,337,39,3273
2019-12-18,912,1106,916,341,40,3315
2019-12-19,920,1122,938,337,39,3357
2019-12-20,945,1133,947,339,41,3404
2019-12-21,932,1136,932,341,41,3381
2019-12-22,910,1113,900,334,38,3294
2019-12-23,949,1145,945,339,41,3420
2019-12-24,961,1150,965,340,40,3456
2019-12-25,970,1132,929,344,41,3416
2019-12-26,993,1115,950,339,41,3439
2019-12-27,1005,1116,963,343,41,3468
2019-12-28,997,1111,943,347,41,3439
2019-12-29,979,1090,893,344,39,3346
2019-12-30,1012,1124,922,351,40,3449
2019-12-31,1021,1113,952,352,42,3480
