,Kolkata_h10m_min,Kolkata_h10m_max,Kolkata_h10m_avg,Patna_h10m_min,Patna_h10m_max,Patna_h10m_avg,Ranchi_h10m_min,Ranchi_h10m_max,Ranchi_h10m_avg,Kolkata_h2m_min,Kolkata_h2m_max,Kolkata_h2m_avg,Patna_h2m_min,Patna_h2m_max,Patna_h2m_avg,Ranchi_h2m_min,Ranchi_h2m_max,Ranchi_h2m_avg,Kolkata_t10m_min,Kolkata_t10m_max,Kolkata_t10m_avg,Patna_t10m_min,Patna_t10m_max,Patna_t10m_avg,Ranchi_t10m_min,Ranchi_t10m_max,Ranchi_t10m_avg,Kolkata_t2m_min,Kolkata_t2m_max,Kolkata_t2m_avg,Patna_t2m_min,Patna_t2m_max,Patna_t2m_avg,Ranchi_t2m_min,Ranchi_t2m_max,Ranchi_t2m_avg,Kolkata_tqi_min,Kolkata_tqi_max,Kolkata_tqi_avg,Patna_tqi_min,Patna_tqi_max,Patna_tqi_avg,Ranchi_tqi_min,Ranchi_tqi_max,Ranchi_tqi_avg,Kolkata_tql_min,Kolkata_tql_max,Kolkata_tql_avg,Patna_tql_min,Patna_tql_max,Patna_tql_avg,Ranchi_tql_min,Ranchi_tql_max,Ranchi_tql_avg,Kolkata_tqv_min,Kolkata_tqv_max,Kolkata_tqv_avg,Patna_tqv_min,Patna_tqv_max,Patna_tqv_avg,Ranchi_tqv_min,Ranchi_tqv_max,Ranchi_tqv_avg,Kolkata_ew10m_min,Kolkata_ew10m_max,Kolkata_ew10m_avg,Patna_ew10m_min,Patna_ew10m_max,Patna_ew10m_avg,Ranchi_ew10m_min,Ranchi_ew10m_max,Ranchi_ew10m_avg,Kolkata_ew2m_min,Kolkata_ew2m_max,Kolkata_ew2m_avg,Patna_ew2m_min,Patna_ew2m_max,Patna_ew2m_avg,Ranchi_ew2m_min,Ranchi_ew2m_max,Ranchi_ew2m_avg,Kolkata_nw10m_min,Kolkata_nw10m_max,Kolkata_nw10m_avg,Patna_nw10m_min,Patna_nw10m_max,Patna_nw10m_avg,Ranchi_nw10m_min,Ranchi_nw10m_max,Ranchi_nw10m_avg,Kolkata_nw2m_min,Kolkata_nw2m_max,Kolkata_nw2m_avg,Patna_nw2m_min,Patna_nw2m_max,Patna_nw2m_avg,Ranchi_nw2m_min,Ranchi_nw2m_max,Ranchi_nw2m_avg,gdp
2014-01-01,0.0063217002898454675,0.009734415449202059,0.008076712789867694,0.00594140263274312,0.00963133666664362,0.008454904270668825,0.00803306885063648,0.010963701643049715,0.009440129307525543,0.006448667962104082,0.010843690484762192,0.008465971225329364,0.0060532144270837316,0.009988244622945786,0.008619671731139533,0.008023183909244834,0.011855538934469223,0.00974659684773845,11.844659423828148,23.966912841796898,17.96797841389976,12.027276611328148,24.887658691406273,18.116863505045597,12.717706298828148,23.623162841796898,17.59297841389976,9.997430419921898,24.513848876953148,16.953254954020206,10.713250732421898,25.619317626953148,17.75493138631187,11.780816650390648,24.199395751953148,16.759895579020206,2.0001083612442013e-05,6.173178553581238e-05,4.107233447333177e-05,0.0,0.0,0.0,9.038340067490936e-07,0.00010192394256591796,2.7192326645793703e-05,0.0,0.0,0.0,1.8501305021345613e-07,0.0005364418029785156,0.0001736753213966343,0.0,3.7964782677590854e-05,6.378867207483078e-06,12.889772415161133,18.51052474975586,15.661908894777298,18.026607513427734,23.39325523376465,21.862226088841755,15.097895860671995,18.65616226196289,17.147097498178482,0.4975093752145767,2.0774581432342534,1.3803640470529597,2.4372291564941406,4.644270420074463,3.559133822719256,0.028053656220436096,2.512392282485962,0.9902215278707445,0.3936196342110634,1.3560490608215332,0.7862078237036864,1.1535536050796509,3.4796822667121887,2.283772226423025,0.022441968321800232,1.4005536884069445,0.5269439613912255,-3.391343593597412,-1.3922137022018433,-2.246349503596624,-2.0911726951599117,0.3706206828355789,-0.8127461872063577,-2.6479246616363525,-0.6093498468399048,-1.941112684706847,-2.540926933288574,-0.8221536874771118,-1.3634502440690994,-1.543298840522766,0.16848599910736084,-0.5343218259513378,-1.9403935074806211,-0.3491676449775696,-1.098834556216995,225000000000.0
2014-01-02,0.008562297560274601,0.012243638746440409,0.010261820939679941,0.006060332991182804,0.009005201049149036,0.006825374846812338,0.007586211897432805,0.01057566236704588,0.009163923260833448,0.00858134962618351,0.01319941971451044,0.010520660202018917,0.006078431848436594,0.009009847417473793,0.006977243625442497,0.007588575128465891,0.011094660498201849,0.009375913272378966,12.526513671875023,25.220361328125023,18.855640665690128,8.684716796875023,23.976831054687523,16.190642293294292,10.076318359375023,22.794580078125023,15.989592488606794,11.760522460937523,25.664392089843773,18.255478159586612,8.042138671875023,24.646813964843773,15.97422815958661,8.999169921875023,23.433923339843773,15.598699188232445,7.613380148541182e-09,5.250796675682068e-05,2.2459311480815813e-05,0.0,9.838957339525224e-06,1.5301435449070293e-06,0.0,5.179271101951599e-05,2.0733750413152546e-05,0.0,0.0011127591133117676,0.00010979250290195826,0.0,1.4741439372301102e-05,1.0843020087728898e-06,0.0,0.002094969153404236,0.00017187296816709163,13.94476318359375,19.22097396850586,17.890609204769135,6.72552490234375,16.639368534088135,11.073592578371366,8.53802490234375,15.25021743774414,12.785669445991516,0.5806905031204224,2.1777843832969666,1.1758630505452554,2.9529743194580083,6.882099628448486,4.637315429747105,1.9337082505226133,3.679700374603272,2.711905475705862,0.33875787258148193,1.6296916007995603,0.7286700593928496,1.663434386253357,5.015449047088623,3.0893315027157464,0.9403687715530396,2.7402892112731934,1.7230720203369856,-3.915685653686523,-1.640393614768982,-2.823172438889742,-1.4688791036605835,-0.10545289516448976,-1.0003040929635365,-3.5036924481391907,-1.9709600806236267,-2.5183895664910474,-2.962449550628662,-0.7725973725318909,-1.7747218689570825,-1.0772417783737185,-0.05521708726882935,-0.6597685857365528,-2.453718662261963,-1.0155251324176788,-1.5726900560160477,225000000000.0
2014-01-03,0.006364479660987854,0.009170821867883205,0.007779132414725609,0.003983792383223772,0.00611602608114481,0.004663706919624626,0.0056840330362319955,0.008274844847619534,0.006984125667562087,0.006443946622312069,0.009913511574268341,0.008056571818694161,0.0042909542098641396,0.006169786211103201,0.004910668358206749,0.0057620694860816,0.009166784584522249,0.007264306802729455,9.943536376953148,21.728723144531273,15.984559631347679,7.725366210937523,20.537286376953148,14.003521219889343,9.496850585937523,20.355645751953148,14.087709045410179,8.878594970703148,22.329675292968773,15.185843404134138,6.394219970703091,21.296289062500023,12.902436828613304,7.423516845703091,21.020898437500023,13.14222361246747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.274608075618744e-05,9.98377799987793e-07,0.0,0.0015785694122314453,0.00013903404275576273,0.0,0.0,0.0,8.823244094848633,13.31892204284668,11.06726618607839,5.508911609649658,6.455152988433838,5.896143933137258,7.292482376098633,9.78799533843994,8.455205604434013,0.05133218877017498,2.2293953895568848,0.9758135897961134,1.925628423690796,4.293078362941742,2.9569506607949734,1.5438908338546753,3.023546934127808,2.1417975363632045,0.009868834167718887,1.6911847591400146,0.6221737485999862,1.0057904720306396,3.2458629608154297,1.844598616162936,0.7189000844955444,2.296117782592773,1.2770637134090066,-3.9286470413208012,-1.9082548022270205,-2.8868441358208656,-1.338564395904541,0.9429285787045956,-0.45969587021196884,-2.93676233291626,-1.2881985902786257,-2.033412435402473,-3.008183717727661,-1.0202479660511017,-1.7495152627428372,-0.6685989499092102,0.7114170752465725,-0.2267349778364102,-2.1748437881469727,-0.6652064919471741,-1.1292081369707982,225000000000.0
2014-01-04,0.004949453752487898,0.007256743032485247,0.005768819615089645,0.0034431249368935823,0.004844423849135636,0.004014406537559505,0.005186586640775204,0.007496592006646097,0.005951984683633782,0.005539720878005028,0.008434368297457695,0.006203944270964712,0.0037787958863191307,0.006009174045175314,0.004350200065042979,0.005314171314239502,0.00824315648060292,0.006382956882589497,8.698327636718773,21.503778076171898,15.109062449137392,7.132897949218773,20.997338867187523,14.448580678304056,9.674890136718773,20.882684326171898,14.753308868408226,7.731927490234455,22.141442871093773,14.00487289428714,5.219232177734455,21.838708496093773,13.120514170328798,7.036614990234455,21.567224121093773,13.387970225016302,0.0,3.430526703596115e-06,1.4293861264983812e-07,0.0,0.0,0.0,0.0,1.5154946595430374e-06,1.255442233135303e-07,0.0,0.0,0.0,0.0,1.6347039490938187e-06,1.3094783450166383e-07,0.0,2.069026231765747e-05,3.2999863227208457e-06,7.004855632781982,9.877218246459961,7.914855485161145,5.776427268981934,12.538351058959961,7.948038265109062,7.3168277740478525,14.231710433959961,10.104247565070787,0.8787758350372314,3.243213176727295,1.6409956477582455,1.5739514827728271,3.230273723602295,2.4903111855189004,1.20831561088562,2.758272647857666,2.1243572123348713,0.4843343496322632,2.461709260940552,1.0058992421254516,0.8969274759292603,2.516518831253052,1.5168353095650673,0.5752575397491455,2.0352559089660645,1.194764827688535,-3.57755708694458,-1.198387622833252,-2.348157614469528,-1.508507251739502,0.5572414547204971,-0.4529358724442621,-2.9304184913635254,-0.9617900922894478,-1.9723616323123376,-2.7179017066955566,-0.7086700797080994,-1.4671335723251104,-1.1711095571517944,0.4244531914591789,-0.2835157440858893,-2.1209752559661865,-0.4405098930001259,-1.1554235277387004,225000000000.0
2014-01-05,0.005296042654663324,0.008380156010389328,0.006798134573424856,0.0042920708656311035,0.009129869751632214,0.006978120674223949,0.0059056878089904785,0.010807257145643234,0.008827354739575336,0.005412319675087929,0.009875332936644554,0.007215162035815108,0.0043851668015122405,0.009121260605752468,0.0071220000051350025,0.0060865674167871475,0.011909520253539084,0.009189943443440521,8.833093261718773,22.748376464843773,17.124205525716167,10.290124511718773,20.780999755859398,15.163796997070335,13.370416259765648,23.685876464843773,17.769469197591167,6.985009765625023,23.227380371093773,16.330009714762394,8.138330078125023,21.450494384765648,14.80588048299156,10.188592529296898,24.219567871093773,16.949475860595726,0.0,4.391372203826904e-05,5.378930602262244e-06,0.0,0.0015799403190612793,0.0003725020133926356,0.0,2.917833626270295e-05,5.356353179590625e-06,0.0,0.013686180114746094,0.003982312550457816,0.00033655576407909393,0.183135986328125,0.06439663942243594,1.6406411305069926e-06,0.12589263916015625,0.060615481900943756,10.144643783569336,26.82241630554199,18.696837941805523,14.693471908569336,31.38219451904297,24.641865531603496,14.752065658569336,26.26534080505371,22.739155570665996,-0.1767725944519043,2.312732458114624,0.9651952317605416,1.5780291557312012,3.4111146926879883,2.333596032112837,1.716882824897766,3.1756362915039062,2.328266634295384,-0.11806881427764893,1.7959848642349243,0.6423555041352907,0.7762019634246826,2.611081838607788,1.4699066275109847,0.8837496042251587,2.3176436126232147,1.3777691312134266,-2.4477343559265137,0.6401243356522173,-0.901979644249271,-2.2082160115242004,1.1744410097599032,-0.5689379162310312,-2.030424326658249,0.6042895764112473,-0.4335428493407865,-1.5368462800979614,0.4166296636685729,-0.5843159469853466,-1.6668567657470703,0.8738087862730026,-0.371143568190746,-1.2492551803588867,0.43991388380527496,-0.2203755397349596,225000000000.0
2014-01-06,0.007613073103129864,0.010874799452722073,0.009510676599650955,0.004921007435768843,0.008848081342875956,0.006807923903882814,0.006579923909157515,0.009941152296960354,0.009005110031769922,0.007660657167434692,0.011873628944158554,0.00972249663027469,0.0049674478359520435,0.008824956603348255,0.006963238619694796,0.006670710165053606,0.01050504669547081,0.00927059403329622,13.986657714843773,22.282495117187523,18.005904134114605,8.298669433593716,23.001824951171898,15.807743326822937,10.320153808593773,21.007104492187523,15.661096191406273,12.750177001953148,22.611322021484398,17.34472300211591,7.648156738281273,23.734643554687523,15.310950215657575,9.122766113281273,21.646752929687523,15.282223002115908,0.0,1.131738827098161e-07,1.28664900955755e-08,0.0,3.810782800428569e-09,1.5878261668452373e-10,0.0,2.1269544959068302e-05,2.5849422108000777e-06,0.002669811248779297,0.11014556884765624,0.025150135159492493,0.0,0.006468147039413452,0.000700728745869128,0.00028962548822164536,0.11181640625,0.0374173877062276,20.702350616455078,28.59424591064453,25.506109873453777,7.306842803955077,21.42179679870605,13.285365949074427,10.918170928955078,23.33390617370605,17.842250724633534,-0.21854519844055176,1.662590503692627,0.9132020669057965,2.7400670051574707,5.79381799697876,3.7688567340373993,1.0290197134017944,3.08434534072876,1.9214401760449011,-0.1749800443649292,1.2839704751968384,0.5682829983221988,1.4069749116897583,4.205945968627931,2.361354134976864,0.4875382333993912,2.3347299098968506,1.2269288450479507,-2.1638782024383545,-0.3788938522338867,-1.2155363783240318,-1.0975382328033447,0.5892671346664429,-0.3525001195569833,-2.5710437297821045,-1.108594298362732,-1.9383230625341337,-1.432829737663269,-0.21488308906555176,-0.7768489507337412,-0.6512786149978638,0.44498831033706665,-0.1853049322962761,-1.821794420480728,-0.6606414318084717,-1.1655417010188103,225000000000.0
2014-01-07,0.005805868655443192,0.009868373163044451,0.008133629356355717,0.0032123106066137552,0.004798782989382744,0.0037701620797937116,0.00425209477543831,0.0073277847841382035,0.005967646274560441,0.005957555491477251,0.010526745580136776,0.00847847718008173,0.0035372800193727016,0.005392639432102442,0.004114314484468196,0.004666280467063189,0.008108227397315204,0.006431216572915825,9.686517333984398,23.229516601562523,16.752515411376976,7.013330078125023,21.432641601562523,13.992261505126976,9.526391601562523,20.836938476562523,14.29043858846031,8.588098144531273,23.889581298828148,16.109882609049503,5.675988769531273,22.247064208984398,12.72385559082033,7.289270019531273,21.573236083984398,13.352761840820333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046965479850769043,6.737991130497296e-05,0.0,0.01849079132080078,0.0032804902984935325,0.0,0.0,0.0,0.0,6.223208038136363e-05,3.0895947323491177e-06,10.153891563415527,19.836645126342773,14.930740743875504,6.4318809509277335,7.756430864334106,7.163976455728213,9.051998138427734,11.589448928833008,10.542374019821485,-0.5378518104553223,2.990276336669922,0.7098889887953798,2.418170213699341,5.529484272003174,3.3882760231693587,0.36737484112381935,3.3747525215148926,1.5372628172238667,-0.2780925035476685,2.2869431972503658,0.5111791004504388,1.0970295667648315,4.125851631164552,2.056666442503532,0.17098486423492432,2.603390693664551,1.013620109918217,-3.1669738292694087,-1.5071945190429688,-2.5227615386247635,-1.3457310199737549,1.0042093992233276,-0.6469952528035113,-2.950711488723755,-0.3452998548746109,-1.9077010457403958,-1.8958714008331297,-0.9202629327774048,-1.4593273481975,-0.6069991588592529,0.7808119654655457,-0.3028874442873833,-1.3669285774230957,-0.26344139128923416,-0.974842922296375,225000000000.0
2014-01-08,0.004652768839150667,0.006931483745574951,0.005434031268426527,0.0027906622271984816,0.004141032695770264,0.003308470060195153,0.00387650215998292,0.007021605968475342,0.005301927502538699,0.005268808454275131,0.008055497892200947,0.005941922019701451,0.0031330573838204145,0.0053189294412732116,0.0036645676130622937,0.004287966468837111,0.008445550687611103,0.005848571209450408,8.711663818359398,21.912072753906273,14.95194778442385,6.604241943359455,21.057122802734398,14.23112258911135,9.678765869140648,21.527825927734398,15.045779164632185,7.526055908203091,22.575402832031273,13.85646718343101,4.720849609375023,21.878137207031273,13.025290425618508,7.354455566406273,22.053918457031273,13.769960021972679,0.0,0.0001502707600593567,1.711237680031748e-05,0.0,9.486824274063109e-05,7.2559147762755556e-06,0.0,0.0004058629274368286,5.2357299691256295e-05,0.0,0.0,0.0,0.0,1.9259750843048096e-05,8.024896184603373e-07,0.0,0.0,0.0,8.166085243225098,9.969539642333984,9.046186089515686,8.031551599502562,9.23677921295166,8.699933663010597,9.055757522583008,10.903302192687988,9.934735894203186,-0.7872111797332764,1.81945276260376,0.28079284727573395,1.0862433910369873,3.8655343055725098,2.2223160763581595,-0.231109619140625,1.4785714149475098,0.6669292201598486,-0.5758359432220459,1.3676018714904783,0.20273996392885843,0.6652778387069702,2.959864616394043,1.4217163063585758,-0.1792917251586914,1.161768913269043,0.43159382541974384,-3.2205135822296143,-2.086091935634613,-2.7867067543168864,-1.6454310417175293,1.8613166809082031,-0.21463508903980255,-2.4297809600830083,-0.7497249841690063,-1.7081544908384483,-2.434845447540283,-1.074684113264084,-1.6288280536731083,-0.8516116142272949,1.3917866945266724,-0.07866700987021129,-1.4513869285583496,-0.61139976978302,-0.9738292706509432,225000000000.0
2014-01-09,0.004541212692856789,0.007003493141382933,0.005350928928237408,0.003058726200833917,0.004464812111109495,0.0036843235235816487,0.004922172054648399,0.008661455474793911,0.007165532709526208,0.005108463112264872,0.008222852018661797,0.005852664980920963,0.003355847904458642,0.005869184155017138,0.004127915167676595,0.005038021132349968,0.010090623050928116,0.007550264796009287,8.556359863281273,21.362390136718773,15.413250223795595,8.677453613281273,21.121453857421898,15.415610249837263,11.193750000000023,23.045281982421898,17.121746317545597,6.743585205078091,21.931726074218773,14.193289693196634,6.489678955078091,21.789147949218773,14.334077453613304,9.021936035156273,23.607507324218773,16.198986307779972,0.0,5.004985723644495e-07,2.9933184227578145e-08,0.0,0.00023260712623596191,3.4010576930622404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030595064163208008,0.0026963178728086254,0.0,3.7942081689834603e-06,2.9176104969034594e-07,8.024508476257324,13.537806510925293,10.821997245152792,9.253443717956543,21.68526840209961,14.953731427590052,10.923365592956543,16.713588237762448,14.612626314163208,-0.6262268219143152,2.310767650604248,0.7112869739066809,-0.4840307086706162,2.047497808933258,0.8800647580840936,-0.15338587760925293,2.0291378498077397,0.8405049185579022,-0.3081699386239052,1.76424703001976,0.5021894748012224,-0.2652575373649597,1.5530233383178709,0.6082588022885224,-0.11223435401916504,1.6026800870895386,0.5946126763398448,-2.9928324222564697,-1.5524612665176392,-2.3395104942222438,-2.0039215087890625,1.756519794464111,-0.36671688857798773,-1.177895560860634,0.6335365772247314,-0.3781144352008899,-2.243955373764038,-1.0012892484664917,-1.4358511716127396,-0.925789713859558,1.321947693824768,-0.1395781966857612,-0.8315408155322075,0.4478937387466431,-0.2597895994161566,225000000000.0
2014-01-10,0.0050572981126606464,0.009100325405597687,0.006630890149002274,0.0044211973436176786,0.008632887154817581,0.0074333475398210185,0.008030378026887773,0.00971735268831253,0.008742960926610976,0.005352591164410114,0.010477494448423386,0.007168734208486664,0.004688260145485401,0.008815240114927292,0.007598384390197073,0.008006569929420948,0.010470818728208542,0.009048823694077631,10.684411621093773,23.624475097656273,17.58542912801109,10.547692871093773,20.506005859375023,15.870259857177757,12.579797363281273,23.593225097656273,17.40256779988609,8.875329589843773,24.135034179687523,16.437703704834007,9.580407714843773,20.780725097656273,15.321899668375673,10.966760253906273,24.205346679687523,16.581665293375675,0.0,1.0390067473053932e-08,8.149925179168349e-10,1.9297518446857807e-11,0.014106988906860353,0.001318898046543581,0.0,0.0004406273365020752,7.941261335038992e-05,0.0,6.781890988349915e-06,6.621121428906918e-07,0.013671875,0.11086273193359376,0.04287511110305786,2.736225724220276e-06,0.04979896545410156,0.009201733072889814,13.669272422790527,17.375055313110348,16.106085568666458,23.093101501464844,30.11626625061035,25.969041347503662,17.220054388046265,22.741119384765625,19.86365396777789,-1.1385490596294403,1.5128215551376345,-0.14280210745831332,-3.605834186077118,2.5853121280670166,-0.4720383606230219,-1.9638988971710205,0.8770015239715576,-0.0877545177936554,-0.6335495710372925,1.1708353757858276,-0.046540203892315425,-2.2683193683624268,1.6782360970973969,-0.23518475579718748,-0.9248485863208772,0.6806215047836304,0.018861027744909123,-2.6716561317443848,-0.6310975626111031,-1.891957210066418,-1.5405902862548828,1.2484396696090698,-0.16046784596983343,0.10802209377288817,2.3597893714904785,1.1712573374000688,-1.9802444577217104,-0.5301230549812317,-1.1470269778122504,-1.1535904705524445,0.791408583521843,-0.16891477103733146,0.024845954030752185,1.294214949011803,0.6514382722477118,225000000000.0
