,,,,,,,,,,,,SR-EMI  ,ER-EMI  ,WR-EMI  ,NR-EMI  ,WR-EMI  ,WR-EMI  ,NR-EMI  ,NR-EMI  ,NR-EMI  ,ER-EMI  ,SR-EMI  ,SR-EMI  ,WR-EMI  ,WR-EMI  ,ER-EMI  ,NR-EMI  ,NR-EMI  ,ER-EMI  ,SR-EMI  ,SR-EMI  ,NR-EMI  ,NR-EMI  ,WR-EMI  ,ER-EMI  ,,,NR-EMI  ,WR-EMI  ,SR-EMI  ,ER-EMI  ,NER-EMI,,,,,,,,,,,,,,,,,,,,,,,
Calendar Hour,,Calendar semester,Calendar trimester,Calendar week,Calendar day,Year,Month,Day,Date,Hour,,ANDHRA,BHR,CGS,DELHI,GOA,GUJ,HARYANA,HIMACHAL,J&K,JH,KARN,KERALA,MP,MAH,ODSA,PUNJAB,RAJ,SKM,TN,TELNGANA,UKHAND,UP,UT_WEST,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,1,1,4927,2270,2103,1819,288,8780,3906,885,2081,846,6744,2146,5637,12872,2021,3660,7521,54,8322,5287,1453,10264,819,4213,,,31589,30499,27426,9404,1321,100239,,,,,,,,,,,,,,,,,,,,,,
2,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,2,2,4891,2257,2049,1565,273,8816,5027,889,2057,868,6775,2065,5481,12466,2021,3492,7334,54,8244,5248,1475,10432,812,4085,,,32271,29897,27223,9285,1305,99981,,,,,,,,,,,,,,,,,,,,,,
3,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,3,3,4946,2279,2089,1541,267,8547,5017,866,2056,849,6501,2014,5579,12329,1950,3487,7180,52,8301,5307,1444,10069,809,4009,,,31660,29620,27069,9139,1284,98772,,,,,,,,,,,,,,,,,,,,,,
4,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,4,4,5174,2298,2056,1492,265,8510,5010,871,2009,846,6433,1988,5553,12306,2150,3489,7119,52,8361,5552,1436,9940,786,3986,,,31366,29476,27508,9332,1311,98993,,,,,,,,,,,,,,,,,,,,,,
5,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,5,5,5082,2304,2103,1507,258,8619,5028,876,1988,869,6519,2085,5680,12759,2337,3487,6770,54,8866,5453,1448,9941,782,4005,,,31045,30201,28005,9569,1345,100165,,,,,,,,,,,,,,,,,,,,,,
6,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,6,6,5328,2366,2265,1639,261,9103,5072,888,1897,908,6541,2318,6116,13674,2480,3668,6723,56,9218,5717,1502,10123,805,4082,,,31512,32224,29122,9892,1390,104140,,,,,,,,,,,,,,,,,,,,,,
7,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,7,7,5139,2416,2522,2080,280,9910,5193,991,1987,911,6800,2611,6972,14920,2609,4223,7600,58,10168,5514,1510,9794,831,3963,,,33378,35435,30232,9957,1399,110401,,,,,,,,,,,,,,,,,,,,,,
8,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,8,8,5256,2295,2644,2544,303,10484,5273,1154,1917,944,7093,2692,8143,16421,2523,4800,8671,60,10493,5640,1614,9657,826,4241,,,35630,38821,31174,10063,1414,117102,,,,,,,,,,,,,,,,,,,,,,
9,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,9,9,4926,2181,2671,2741,311,10842,5286,1233,1846,922,7702,2419,8809,16785,2552,4652,8805,65,10590,5286,1623,10653,841,4489,,,36839,40259,30923,10209,1434,119664,,,,,,,,,,,,,,,,,,,,,,
10,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,10,10,4830,2203,2657,2862,323,11237,5251,1223,1960,915,7914,2419,8914,17432,2337,4451,8826,65,10217,5183,1673,10044,884,4512,,,36290,41447,30563,10032,1410,119742,,,,,,,,,,,,,,,,,,,,,,
11,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,11,11,4692,2229,2562,3238,354,11255,5243,1220,1877,919,7822,2459,8818,17541,2308,4378,9016,63,10342,5035,1714,10517,899,4569,,,37203,41429,30350,10088,1417,120487,,,,,,,,,,,,,,,,,,,,,,
12,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,12,12,4530,2220,2468,3267,340,11416,5208,1179,1919,861,7723,2500,8146,17323,2165,4263,9073,65,10119,4861,1692,10230,896,4579,,,36831,40589,29733,9890,1390,118433,,,,,,,,,,,,,,,,,,,,,,
13,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,13,13,4851,2143,2319,3128,357,10824,5149,1139,1971,809,7681,2459,8416,16880,1993,4068,8744,64,10222,5205,1631,10235,886,4633,,,36065,39682,30418,9642,1355,117162,,,,,,,,,,,,,,,,,,,,,,
14,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,14,14,4912,2118,2170,2895,342,10573,5178,1091,1994,819,7457,2490,8248,16540,1806,3841,8790,64,10054,5271,1649,10269,874,4381,,,35707,38747,30184,9188,1291,115117,,,,,,,,,,,,,,,,,,,,,,
15,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,15,15,4681,2022,2265,2731,336,10502,5216,1080,2039,879,7080,2566,8119,16264,1792,3996,8721,63,10083,5023,1631,10162,878,4308,,,35576,38364,29433,9064,1274,113711,,,,,,,,,,,,,,,,,,,,,,
16,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,16,16,4619,2093,2387,2664,341,10699,5161,1071,1913,873,6872,2672,8107,16555,2122,3916,8894,59,10140,4956,1627,9891,894,4416,,,35137,38983,29259,9563,1344,114286,,,,,,,,,,,,,,,,,,,,,,
17,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,17,17,4667,2279,2603,2612,344,10699,5245,1099,2039,861,6679,2773,8165,16055,2265,3921,8758,65,10425,5008,1591,10593,893,4846,,,35858,38759,29552,10316,1449,115934,,,,,,,,,,,,,,,,,,,,,,
18,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,18,18,4726,2596,2914,2594,346,11165,5237,1085,1970,903,6646,2530,7545,14822,2781,3947,8723,85,10495,5071,1552,10319,884,5888,,,35427,37676,29468,12253,1722,116546,,,,,,,,,,,,,,,,,,,,,,
19,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,19,19,4695,2646,2900,2708,348,11362,5380,1153,2039,869,6797,3097,7625,15273,2939,4256,9097,82,10839,5038,1586,11224,891,5850,,,37443,38399,30466,12386,1740,120434,,,,,,,,,,,,,,,,,,,,,,
20,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,20,20,4902,2560,2819,2869,390,10699,5980,1216,2192,880,7251,3218,7376,15730,2853,4494,8650,82,10862,5260,1638,11366,883,5659,,,38405,37897,31493,12034,1691,121520,,,,,,,,,,,,,,,,,,,,,,
21,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,21,21,4845,2614,2644,2738,400,10143,5630,1176,2222,844,7183,3243,6959,14782,2552,4422,7764,77,10194,5199,1627,11120,871,5260,,,36699,35799,30664,11347,1594,116103,,,,,,,,,,,,,,,,,,,,,,
22,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,22,22,5046,2470,2387,2503,402,10017,5151,1121,2305,832,7034,3158,6843,13865,2323,4068,7371,70,9724,5415,1595,11130,871,4699,,,35244,34385,30377,10394,1460,111860,,,,,,,,,,,,,,,,,,,,,,
23,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,23,23,5038,2442,2319,2336,369,9713,4653,1061,2299,838,6285,2692,6791,13267,2007,4134,7266,63,9864,5406,1582,11560,859,4301,,,34891,33318,29285,9651,1356,108501,,,,,,,,,,,,,,,,,,,,,,
24,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,24,24,5171,2392,2251,1979,331,9282,4371,943,2188,835,6198,2318,6297,12821,1849,3589,7730,66,9286,5549,1565,11343,863,4346,,,33708,31845,28522,9488,1333,104896,,,,,,,,,,,,,,,,,,,,,,
25,2015-01-02,1,1,1,2,2015,01,02,1/2/15,1,25,5132,2094,2507,2197,294,9140,3677,939,1423,733,6065,2101,5647,13279,2383,3513,7323,51,8554,5507,1274,9762,851,4372,,,30108,31718,27359,9633,1354,100172,,,,,,,,,,,,,,,,,,,,,,
26,2015-01-02,1,1,1,2,2015,01,02,1/2/15,2,26,4993,2094,2500,1899,279,9191,3501,924,1813,723,6287,2022,5490,12861,2383,3418,7114,52,8383,5358,1275,8495,843,4240,,,28439,31164,27043,9492,1334,97472,,,,,,,,,,,,,,,,,,,,,,
27,2015-01-02,1,1,1,2,2015,01,02,1/2/15,3,27,4900,2080,2479,1776,273,9253,3435,914,2027,747,6032,1973,5589,12720,2319,3335,7038,50,8654,5258,1254,7867,841,4160,,,27646,31155,26817,9356,1315,96289,,,,,,,,,,,,,,,,,,,,,,
28,2015-01-02,1,1,1,2,2015,01,02,1/2/15,4,28,4988,2108,2506,1703,270,9159,3394,910,1758,677,6001,1947,5562,12695,2351,3285,6875,50,8713,5352,1228,7571,817,4137,,,26724,31009,27001,9323,1310,95367,,,,,,,,,,,,,,,,,,,,,,
29,2015-01-02,1,1,1,2,2015,01,02,1/2/15,5,29,5164,2137,2517,1688,263,9122,3510,907,1820,747,6132,2042,5690,13163,2474,3318,6503,51,8679,5541,1174,7021,813,4157,,,25941,31568,27558,9566,1344,95977,,,,,,,,,,,,,,,,,,,,,,
30,2015-01-02,1,1,1,2,2015,01,02,1/2/15,6,30,5241,2250,2794,1779,266,9628,3798,834,879,812,6470,2270,6126,14107,2728,3658,6106,53,9328,5624,1166,6604,836,4236,,,24824,33757,28933,10079,1416,99009,,,,,,,,,,,,,,,,,,,,,,
31,2015-01-02,1,1,1,2,2015,01,02,1/2/15,7,31,5313,2306,3107,2076,285,10416,4595,992,974,882,6795,2557,6984,15392,2916,4181,7142,55,9704,5701,1153,6992,863,4114,,,28105,37047,30070,10273,1443,106938,,,,,,,,,,,,,,,,,,,,,,
32,2015-01-02,1,1,1,2,2015,01,02,1/2/15,8,32,4842,2278,3173,2485,309,11187,5124,1173,1140,770,7360,2637,8158,16941,3084,4583,8036,57,10502,5196,1168,7323,859,4401,,,31032,40627,30537,10590,1488,114274,,,,,,,,,,,,,,,,,,,,,,
33,2015-01-02,1,1,1,2,2015,01,02,1/2/15,9,33,4610,2222,2987,3025,318,11332,5206,1308,1231,672,8258,2369,8824,17316,2965,4654,8557,62,10507,4947,1165,8589,874,4659,,,33735,41651,30691,10580,1487,118144,,,,,,,,,,,,,,,,,,,,,,
34,2015-01-02,1,1,1,2,2015,01,02,1/2/15,10,34,4985,2264,3002,3261,330,11584,4976,1317,1319,714,8401,2369,8930,17984,2929,4535,8534,62,10301,5349,1366,8446,918,4682,,,33754,42748,31405,10651,1497,120055,,,,,,,,,,,,,,,,,,,,,,
35,2015-01-02,1,1,1,2,2015,01,02,1/2/15,11,35,5173,2207,2968,3382,362,11619,4928,1273,1382,658,8246,2409,8834,18096,2923,4190,8470,60,10139,5551,1438,9049,934,4742,,,34112,42813,31518,10590,1488,120521,,,,,,,,,,,,,,,,,,,,,,
36,2015-01-02,1,1,1,2,2015,01,02,1/2/15,12,36,5047,2165,2878,3290,347,11724,4695,1203,1396,709,8035,2448,8161,17871,2778,3934,8294,62,10068,5416,1493,8877,931,4752,,,33182,41912,31014,10466,1471,118045,,,,,,,,,,,,,,,,,,,,,,
37,2015-01-02,1,1,1,2,2015,01,02,1/2/15,13,37,5320,1981,2776,3148,364,10936,4310,1128,1504,677,8153,2409,8431,17414,2517,3702,8328,61,10147,5709,1507,9061,920,4808,,,32688,40841,31738,10044,1411,116722,,,,,,,,,,,,,,,,,,,,,,
38,2015-01-02,1,1,1,2,2015,01,02,1/2/15,14,38,5172,1981,2601,2791,349,10667,4497,1038,1588,649,8072,2438,8262,17064,2347,3392,8117,61,9965,5550,1556,9308,908,4547,,,32287,39851,31197,9585,1347,114267,,,,,,,,,,,,,,,,,,,,,,
39,2015-01-02,1,1,1,2,2015,01,02,1/2/15,15,39,5163,1953,2626,2496,343,10769,4745,967,1692,700,7614,2513,8133,16779,2469,3426,8041,60,9541,5540,1569,9765,912,4471,,,32701,39562,30371,9653,1356,113643,,,,,,,,,,,,,,,,,,,,,,
40,2015-01-02,1,1,1,2,2015,01,02,1/2/15,16,40,5568,2108,2767,2202,348,10954,4383,891,1758,672,7367,2617,8121,17079,2548,3405,8191,56,9670,5975,1542,10066,929,4584,,,32438,40198,31197,9968,1401,115202,,,,,,,,,,,,,,,,,,,,,,
41,2015-01-02,1,1,1,2,2015,01,02,1/2/15,17,41,4774,2264,2888,1996,351,11012,4938,935,1831,747,7563,2716,8179,16563,2646,3466,8377,62,9648,5123,1617,9707,928,5030,,,32867,39921,29824,10749,1510,114871,,,,,,,,,,,,,,,,,,,,,,
42,2015-01-02,1,1,1,2,2015,01,02,1/2/15,18,42,4822,2490,3233,2020,353,11048,4886,956,1974,807,7463,2478,7558,15292,3114,3560,8648,81,9808,5174,1624,9819,919,6111,,,33487,38403,29745,12603,1771,116009,,,,,,,,,,,,,,,,,,,,,,
43,2015-01-02,1,1,1,2,2015,01,02,1/2/15,19,43,4665,2547,3270,2140,355,11292,5499,1074,1979,784,7297,3033,7638,15757,3262,3841,8777,79,10296,5006,1483,10826,926,6071,,,35619,39238,30297,12743,1791,119688,,,,,,,,,,,,,,,,,,,,,,
44,2015-01-02,1,1,1,2,2015,01,02,1/2/15,20,44,4821,2505,3163,2878,398,10983,6212,1263,2104,873,7705,3152,7389,16228,3069,4664,8818,78,9830,5173,1559,11302,917,5873,,,38800,39078,30681,12398,1742,122699,,,,,,,,,,,,,,,,,,,,,,
45,2015-01-02,1,1,1,2,2015,01,02,1/2/15,21,45,4935,2519,2937,2834,408,10376,6098,1263,2262,835,7788,3176,6971,15250,2965,4405,8302,74,9411,5296,1504,10928,905,5459,,,37596,36847,30606,11852,1665,118566,,,,,,,,,,,,,,,,,,,,,,
46,2015-01-02,1,1,1,2,2015,01,02,1/2/15,22,46,4513,2377,2712,2726,410,10249,5585,1182,2294,765,7359,3093,6855,14304,2565,3811,8204,67,9007,4843,1489,10684,905,4877,,,35975,35435,28815,10651,1497,112373,,,,,,,,,,,,,,,,,,,,,,
47,2015-01-02,1,1,1,2,2015,01,02,1/2/15,23,47,4604,2306,2609,2539,377,9882,5055,1080,2165,775,6927,2637,6802,13687,2333,4108,7966,60,8966,4940,1492,11175,893,4464,,,35580,34250,28074,9938,1396,109238,,,,,,,,,,,,,,,,,,,,,,
48,2015-01-02,1,1,1,2,2015,01,02,1/2/15,24,48,4510,2250,2550,2203,338,9678,4909,944,2159,779,6691,2270,6308,13227,2295,3626,8278,63,8599,4840,1489,10795,897,4510,,,34403,32998,26910,9897,1391,105599,,,,,,,,,,,,,,,,,,,,,,
49,2015-01-03,1,1,1,3,2015,01,03,1/3/15,1,49,4630,2287,2816,1797,305,9381,4111,912,2007,843,6453,2028,5657,13687,2335,3515,7523,67,8070,4968,1496,10888,888,3562,,,32249,32734,26149,9094,1278,101504,,,,,,,,,,,,,,,,,,,,,,
50,2015-01-03,1,1,1,3,2015,01,03,1/3/15,2,50,4682,2274,2823,1546,287,9433,5291,917,1984,865,6540,1826,5500,13255,2335,3352,7336,65,8252,5024,1518,11067,879,3590,,,33011,32177,26324,9129,1283,101924,,,,,,,,,,,,,,,,,,,,,,
51,2015-01-03,1,1,1,3,2015,01,03,1/3/15,3,51,4986,2297,2782,1522,284,9497,5280,893,1983,846,6398,1775,5598,13110,2272,3348,7182,64,8126,5350,1486,10682,876,3452,,,32376,32147,26635,8931,1255,101344,,,,,,,,,,,,,,,,,,,,,,
52,2015-01-03,1,1,1,3,2015,01,03,1/3/15,4,52,4840,2315,2830,1474,282,9400,5273,899,1937,843,6333,1846,5572,13085,2304,3347,7121,64,8050,5194,1478,10544,848,3452,,,32073,32017,26263,8978,1261,100592,,,,,,,,,,,,,,,,,,,,,,
53,2015-01-03,1,1,1,3,2015,01,03,1/3/15,5,53,5115,2321,2830,1489,274,9362,5292,904,1918,866,6367,1927,5700,13567,2424,3344,6771,64,8356,5489,1490,10545,843,3535,,,31753,32576,27254,9210,1294,102087,,,,,,,,,,,,,,,,,,,,,,
54,2015-01-03,1,1,1,3,2015,01,03,1/3/15,6,54,5093,2384,3163,1619,271,9881,5338,916,1830,905,6518,2282,6137,14540,2673,3520,6724,65,8884,5465,1546,10739,876,3673,,,32232,34868,28242,9700,1363,106405,,,,,,,,,,,,,,,,,,,,,,
55,2015-01-03,1,1,1,3,2015,01,03,1/3/15,7,55,5171,2435,3516,2054,288,10690,5466,1022,1917,908,6647,2535,6996,15865,2857,4055,7601,63,9978,5549,1554,10390,905,3839,,,34059,38260,29880,10102,1419,113720,,,,,,,,,,,,,,,,,,,,,,
56,2015-01-03,1,1,1,3,2015,01,03,1/3/15,8,56,5187,2313,3571,2513,314,11481,5550,1190,1849,941,7520,2535,8172,17461,3022,4604,8672,68,10536,5566,1661,10244,896,3977,,,36283,41895,31344,10321,1450,121293,,,,,,,,,,,,,,,,,,,,,,
57,2015-01-03,1,1,1,3,2015,01,03,1/3/15,9,57,4841,2197,3306,2708,314,11630,5563,1272,1781,920,8353,2383,8840,17848,2905,4470,8807,72,10375,5195,1670,11301,909,4280,,,37572,42847,31147,10374,1458,123398,,,,,,,,,,,,,,,,,,,,,,
58,2015-01-03,1,1,1,3,2015,01,03,1/3/15,10,58,4848,2219,3330,2827,325,11889,5526,1261,1891,912,8121,2383,8945,18537,2870,4281,8828,72,10532,5202,1721,10655,952,4280,,,36990,43978,31086,10353,1455,123862,,,,,,,,,,,,,,,,,,,,,,
59,2015-01-03,1,1,1,3,2015,01,03,1/3/15,11,59,4945,2246,3312,3199,361,11925,5519,1259,1810,916,8069,2383,8849,18652,2863,4224,9018,73,10396,5306,1764,11156,969,4142,,,37949,44068,31099,10240,1439,124795,,,,,,,,,,,,,,,,,,,,,,
60,2015-01-03,1,1,1,3,2015,01,03,1/3/15,12,60,5149,2237,3217,3227,345,12033,5481,1216,1851,858,8276,2383,8175,18420,2722,4120,9075,73,10462,5525,1741,10852,964,4280,,,37563,43154,31795,10170,1429,124111,,,,,,,,,,,,,,,,,,,,,,
61,2015-01-03,1,1,1,3,2015,01,03,1/3/15,13,61,5157,2160,3122,3089,366,11223,5420,1175,1901,806,8090,2383,8446,17949,2467,3934,8746,74,10388,5534,1679,10858,955,4225,,,36802,42061,31552,9732,1367,121514,,,,,,,,,,,,,,,,,,,,,,
62,2015-01-03,1,1,1,3,2015,01,03,1/3/15,14,62,5263,2134,2925,2860,351,10947,5450,1125,1923,816,7998,2333,8276,17588,2300,3711,8792,70,10151,5648,1697,10894,941,4198,,,36452,41028,31393,9518,1337,119728,,,,,,,,,,,,,,,,,,,,,,
63,2015-01-03,1,1,1,3,2015,01,03,1/3/15,15,63,4926,2037,2932,2697,343,11052,5489,1114,1966,877,7578,2510,8147,17294,2419,3865,8723,69,10377,5286,1678,10780,946,4170,,,36312,40714,30677,9572,1345,118620,,,,,,,,,,,,,,,,,,,,,,
64,2015-01-03,1,1,1,3,2015,01,03,1/3/15,16,64,4753,2109,3088,2632,348,11242,5432,1105,1845,871,7319,2637,8135,17603,2497,3789,8896,71,10202,5100,1674,10492,963,3866,,,35865,41379,30011,9414,1323,117992,,,,,,,,,,,,,,,,,,,,,,
65,2015-01-03,1,1,1,3,2015,01,03,1/3/15,17,65,5156,2297,3190,2580,348,11302,5520,1134,1966,858,7427,2535,8193,17071,2592,3791,8760,77,10693,5533,1637,11237,962,4280,,,36625,41066,31344,10104,1420,120559,,,,,,,,,,,,,,,,,,,,,,
66,2015-01-03,1,1,1,3,2015,01,03,1/3/15,18,66,4862,2615,3571,2563,348,11339,5512,1120,1900,900,7132,2535,7571,15761,3051,3812,8725,94,10808,5217,1597,10946,947,5606,,,36175,39537,30554,12266,1723,120255,,,,,,,,,,,,,,,,,,,,,,
67,2015-01-03,1,1,1,3,2015,01,03,1/3/15,19,67,5025,2666,3625,2674,337,11589,5662,1190,1967,866,6859,2941,7651,16241,3196,4108,9099,93,10976,5392,1633,11907,952,5440,,,38240,40395,31193,12261,1723,123812,,,,,,,,,,,,,,,,,,,,,,
68,2015-01-03,1,1,1,3,2015,01,03,1/3/15,20,68,5284,2580,3503,2834,392,11272,6294,1255,2114,878,7713,3144,7402,16726,3007,4327,8652,90,10980,5670,1686,12058,947,5385,,,39220,40242,32791,11940,1678,125871,,,,,,,,,,,,,,,,,,,,,,
69,2015-01-03,1,1,1,3,2015,01,03,1/3/15,21,69,5308,2634,3244,2704,408,10649,5926,1213,2143,841,7627,3063,6983,15718,2905,4252,7766,84,10489,5696,1674,11796,935,5109,,,37474,37937,32183,11573,1626,120793,,,,,,,,,,,,,,,,,,,,,,
70,2015-01-03,1,1,1,3,2015,01,03,1/3/15,22,70,5412,2488,3013,2472,419,10519,5422,1157,2223,830,7165,2840,6866,14743,2513,3910,7372,75,10124,5807,1642,11807,934,4612,,,36005,36494,31348,10518,1478,115843,,,,,,,,,,,,,,,,,,,,,,
71,2015-01-03,1,1,1,3,2015,01,03,1/3/15,23,71,5011,2460,2891,2307,387,10142,4897,1094,2217,836,6839,2535,6814,14107,2285,3971,7268,69,9920,5377,1628,12263,921,4142,,,35645,35262,29682,9792,1376,111757,,,,,,,,,,,,,,,,,,,,,,
72,2015-01-03,1,1,1,3,2015,01,03,1/3/15,24,72,4813,2410,2830,1955,348,9933,4601,973,2110,833,6464,2282,6319,13633,2248,3448,7732,69,9491,5165,1610,12033,915,4336,,,34462,33978,28215,9896,1390,107941,,,,,,,,,,,,,,,,,,,,,,
73,2015-01-04,1,1,1,4,2015,01,04,1/4/15,1,73,4773,2084,2557,1922,296,9324,3685,869,1481,729,7594,1879,4837,12892,2311,3382,7380,50,8614,5122,1305,10211,864,2801,,,30235,30770,27982,7975,1121,98083,,,,,,,,,,,,,,,,,,,,,,
74,2015-01-04,1,1,1,4,2015,01,04,1/4/15,2,74,4632,2084,2563,1661,280,9376,3509,855,1886,719,6401,1691,4702,12486,2311,3292,7170,51,8608,4970,1306,8885,855,2822,,,28564,30262,26302,7987,1122,94237,,,,,,,,,,,,,,,,,,,,,,
75,2015-01-04,1,1,1,4,2015,01,04,1/4/15,3,75,4896,2069,2526,1554,274,9440,3443,845,2109,742,6398,1644,4787,12349,2248,3211,7093,49,8603,5254,1284,8228,852,2714,,,27767,30228,26795,7822,1099,93711,,,,,,,,,,,,,,,,,,,,,,
76,2015-01-04,1,1,1,4,2015,01,04,1/4/15,4,76,5080,2098,2569,1490,271,9343,3402,842,1829,673,6319,1710,4764,12326,2280,3164,6929,49,8783,5451,1258,7919,825,2714,,,26833,30098,27343,7814,1098,93186,,,,,,,,,,,,,,,,,,,,,,
77,2015-01-04,1,1,1,4,2015,01,04,1/4/15,5,77,4792,2126,2569,1477,264,9306,3518,838,1893,742,6553,1785,4874,12780,2399,3196,6554,50,8889,5142,1202,7344,821,2779,,,26022,30614,27161,8096,1138,93031,,,,,,,,,,,,,,,,,,,,,,
78,2015-01-04,1,1,1,4,2015,01,04,1/4/15,6,78,4885,2238,2871,1556,268,9821,3806,771,915,807,6882,2114,5247,13696,2646,3523,6154,52,9351,5242,1194,6907,852,2887,,,24826,32755,28474,8630,1213,95898,,,,,,,,,,,,,,,,,,,,,,
79,2015-01-04,1,1,1,4,2015,01,04,1/4/15,7,79,4698,2295,3192,1817,287,10626,4606,918,1014,877,6927,2348,5982,14944,2828,4026,7198,54,10458,5041,1180,7313,880,3018,,,28072,35911,29472,9072,1275,103802,,,,,,,,,,,,,,,,,,,,,,
80,2015-01-04,1,1,1,4,2015,01,04,1/4/15,8,80,4790,2267,3242,2174,310,11412,5135,1085,1186,766,6964,2348,6987,16448,2990,4413,8099,56,10598,5140,1196,7659,872,3126,,,30947,39271,29840,9205,1293,110556,,,,,,,,,,,,,,,,,,,,,,
81,2015-01-04,1,1,1,4,2015,01,04,1/4/15,9,81,4909,2210,3001,2646,319,11560,5217,1209,1281,668,7930,2208,7558,16812,2875,4479,8624,60,10522,5268,1193,8983,885,3365,,,33632,40135,30837,9178,1290,115072,,,,,,,,,,,,,,,,,,,,,,
82,2015-01-04,1,1,1,4,2015,01,04,1/4/15,10,82,5443,2252,3023,2853,331,11817,4987,1218,1373,710,8229,2208,7648,17461,2841,4364,8600,60,10471,5841,1399,8834,927,3365,,,33628,41207,32192,9228,1297,117552,,,,,,,,,,,,,,,,,,,,,,
83,2015-01-04,1,1,1,4,2015,01,04,1/4/15,11,83,5036,2196,3007,2959,364,11853,4939,1178,1438,654,7973,2208,7566,17570,2834,4031,8536,58,10570,5404,1473,9464,943,3256,,,34018,41303,31191,8998,1264,116774,,,,,,,,,,,,,,,,,,,,,,
84,2015-01-04,1,1,1,4,2015,01,04,1/4/15,12,84,5217,2154,2921,2879,349,11960,4705,1113,1453,705,7754,2208,6989,17351,2694,3785,8359,60,10401,5598,1529,9285,938,3365,,,33108,40508,31178,8978,1261,115033,,,,,,,,,,,,,,,,,,,,,,
85,2015-01-04,1,1,1,4,2015,01,04,1/4/15,13,85,5178,1971,2834,2754,366,11156,4320,1043,1565,673,7760,2208,7221,16907,2441,3561,8393,60,10383,5556,1543,9477,930,3322,,,32656,39414,31085,8467,1190,112812,,,,,,,,,,,,,,,,,,,,,,
86,2015-01-04,1,1,1,4,2015,01,04,1/4/15,14,86,5146,1971,2656,2442,351,10881,4507,960,1652,645,7281,2161,7076,16567,2276,3263,8181,59,10486,5522,1593,9735,915,3300,,,32333,38446,30596,8251,1159,110785,,,,,,,,,,,,,,,,,,,,,,
87,2015-01-04,1,1,1,4,2015,01,04,1/4/15,15,87,5357,1943,2662,2184,345,10985,4755,895,1761,696,7153,2325,6966,16291,2394,3297,8104,59,10312,5748,1607,10213,920,3278,,,32816,38169,30895,8370,1176,111426,,,,,,,,,,,,,,,,,,,,,,
88,2015-01-04,1,1,1,4,2015,01,04,1/4/15,16,88,4881,2098,2804,1926,349,11174,4393,824,1829,668,6836,2442,6955,16581,2471,3276,8255,54,10314,5238,1579,10529,937,3039,,,32611,38800,29711,8330,1170,110622,,,,,,,,,,,,,,,,,,,,,,
89,2015-01-04,1,1,1,4,2015,01,04,1/4/15,17,89,4967,2252,2896,1746,353,11234,4949,865,1905,742,6605,2348,7005,16081,2565,3336,8442,60,10589,5330,1656,10152,936,3365,,,33051,38505,29839,8984,1262,111641,,,,,,,,,,,,,,,,,,,,,,
90,2015-01-04,1,1,1,4,2015,01,04,1/4/15,18,90,5010,2478,3242,1768,355,11271,4897,884,2054,803,6776,2348,6473,14846,3020,3426,8716,79,10487,5376,1663,10269,922,4407,,,33677,37109,29997,10787,1516,113086,,,,,,,,,,,,,,,,,,,,,,
91,2015-01-04,1,1,1,4,2015,01,04,1/4/15,19,91,5276,2534,3291,1872,357,11519,5511,993,2059,780,6391,2724,6542,15298,3163,3695,8846,77,10842,5661,1518,11324,926,4277,,,35818,37933,30894,10831,1522,116998,,,,,,,,,,,,,,,,,,,,,,
92,2015-01-04,1,1,1,4,2015,01,04,1/4/15,20,92,5340,2492,3180,2518,400,11204,6226,1168,2190,868,7204,2912,6329,15755,2976,4489,8887,76,10733,5730,1596,11821,922,4233,,,38895,37790,31919,10645,1496,120745,,,,,,,,,,,,,,,,,,,,,,
93,2015-01-04,1,1,1,4,2015,01,04,1/4/15,21,93,5450,2506,2945,2480,410,10585,6111,1168,2354,831,6882,2837,5971,14806,2875,4240,8367,72,10588,5848,1540,11430,910,4016,,,37690,35627,31605,10300,1447,116669,,,,,,,,,,,,,,,,,,,,,,
